Species,Length of a leaf(meters),No.of leaflets in a leaf,Ratio(length of leaflet:width of leaflet),Leaf tip angle(degrees)
Macarthuri feather palm tree,2.77,40,6.33,47.2
Arecanut palm tree,0.73,22,2.55,43.1
Christmas palm tree,1.67,104,1.54,31.3
Macarthuri feather palm tree,2.37,42,6.33,45.8
Arecanut palm tree,2.12,20,2.65,41.8
Arecanut palm tree,2.78,23,3.22,44.2
Christmas palm tree,1.54,102,1.5,33.9
Macarthuri feather palm tree,3.03,43,6.17,49.8
Arecanut palm tree,1.47,21,4.14,42.6
Christmas palm tree,1.73,104,1.37,32.1
Macarthuri feather palm tree,3.31,40,8.4,47.1
Arecanut palm tree,2.63,20,2.49,43.8
Macarthuri feather palm tree,2.78,42,6.33,50.9
Christmas palm tree,1.91,103,1.55,35.2
Arecanut palm tree,0.84,23,2.79,44.6
Christmas palm tree,1.68,103,1.55,34.2
Christmas palm tree,1.86,105,1.71,33.7
Macarthuri feather palm tree,2.24,41,8.4,50.7
Arecanut palm tree,2.16,22,2.78,41.5
Macarthuri feather palm tree,2.13,40,6.83,45.2
Arecanut palm tree,1.58,21,3.69,42.9
Christmas palm tree,1.56,106,1.51,31.5
Arecanut palm tree,2.09,23,2.4,43.3
Arecanut palm tree,1.39,20,3.38,44.1
Macarthuri feather palm tree,2.59,40,6.83,48.9
Christmas palm tree,1.65,105,1.54,34.8
Arecanut palm tree,2.47,24,3.42,41.7
Arecanut palm tree,2.87,22,2.38,43.6
Macarthuri feather palm tree,3.02,43,6.17,49.4
Christmas palm tree,1.52,102,1.49,34.9
Arecanut palm tree,1.66,20,1.61,41.3
Arecanut palm tree,0.78,21,2.69,42.1
Macarthuri feather palm tree,2.62,40,8.2,47.9
Arecanut palm tree,2.72,22,2.19,44.7
Macarthuri feather palm tree,2.63,41,6.83,47.8
Arecanut palm tree,1.85,23,2.25,43
Christmas palm tree,1.79,106,1.41,32.6
Arecanut palm tree,1.08,24,2.48,42.2
Macarthuri feather palm tree,2.08,43,6.67,51.8
Arecanut palm tree,2.39,20,3.39,41.4
Macarthuri feather palm tree,2.44,40,6.83,49.6
Arecanut palm tree,1.31,21,1.94,43.7
Arecanut palm tree,2.55,24,3.37,44.3
Christmas palm tree,1.95,104,1.59,33.5
Macarthuri feather palm tree,2.41,43,6.5,51.2
Christmas palm tree,1.83,106,1.58,32.8
Macarthuri feather palm tree,2.11,42,6.33,49.3
Christmas palm tree,1.71,105,1.58,31.9
Christmas palm tree,1.62,105,1.62,34.6
Macarthuri feather palm tree,2.16,44,6.67,50.5
Christmas palm tree,1.77,103,1.49,35.1
Macarthuri feather palm tree,2.33,42,8.2,46.8
Christmas palm tree,1.93,102,1.51,35.4
Christmas palm tree,1.72,104,1.48,31.7
Macarthuri feather palm tree,2.31,43,6.17,46.7
Arecanut palm tree,0.96,22,1.86,45
Christmas palm tree,1.61,105,1.49,34.3
Arecanut palm tree,2.94,22,5.31,42.7
Christmas palm tree,1.58,103,1.59,33.2
Macarthuri feather palm tree,1.83,44,7.2,50.3
Christmas palm tree,1.89,106,1.58,32.4
Christmas palm tree,1.82,104,1.64,33.1
Macarthuri feather palm tree,2.94,41,6,48.1
Arecanut palm tree,1.25,24,2.01,44.5
Arecanut palm tree,2.31,20,2.87,41.2
Macarthuri feather palm tree,3.26,44,7,47.5
Christmas palm tree,1.75,103,1.4,32.2
Christmas palm tree,1.59,106,1.55,31.8
Arecanut palm tree,1.74,24,2.07,42.4
Christmas palm tree,1.97,102,1.62,35.5
Macarthuri feather palm tree,1.98,41,6.5,48.5
Macarthuri feather palm tree,3.19,41,7.8,52.1
Christmas palm tree,1.74,104,1.48,33.6
Macarthuri feather palm tree,3.25,42,6.33,46.3
Christmas palm tree,1.88,103,1.5,34.7
Christmas palm tree,1.81,102,1.47,35
Arecanut palm tree,0.57,21,2.36,42
Macarthuri feather palm tree,2.87,44,6,45.6
Christmas palm tree,1.63,103,1.59,32.9
Christmas palm tree,1.57,104,1.41,33.8
Macarthuri feather palm tree,2.21,41,8.4,51
Arecanut palm tree,1.02,24,3.12,43.5
Macarthuri feather palm tree,2.05,44,8,48.7
Arecanut palm tree,0.61,21,1.84,43.9
Macarthuri feather palm tree,3.15,40,6.5,46.4
Arecanut palm tree,1.13,23,2.59,44.8
Macarthuri feather palm tree,3.38,43,8.4,49.2
Christmas palm tree,1.69,105,1.4,31.2
Macarthuri feather palm tree,2.79,44,6,52.4
Arecanut palm tree,1.89,23,2.68,42.5
Macarthuri feather palm tree,1.1,42,6.33,47.5
Arecanut palm tree,0.85,23,2.33,42.5
Christmas palm tree,1.3,105,1.54,33.3
Macarthuri feather palm tree,1.2,43,6.58,45.6
Arecanut palm tree,1.45,21,2.42,42.5
Christmas palm tree,1.54,102,1.56,34.5
Macarthuri feather palm tree,1.65,43,8,48.9
Arecanut palm tree,1.98,24,2.55,42.4
Christmas palm tree,1.62,104,1.4,34.1
Macarthuri feather palm tree,2.72,41,6.65,47.8
Arecanut palm tree,2.87,23,0.98,42.3
Christmas palm tree,1.86,101,1.45,34.2
Macarthuri feather palm tree,1.91,43,6.78,46.8
Arecanut palm tree,2.05,23,0.98,42.2
Christmas palm tree,1.77,102,1.54,34.3
Macarthuri feather palm tree,1.89,41,6.76,46.8
Arecanut palm tree,2.47,23,2.12,42.1
Christmas palm tree,1.58,102,1.55,34.5
Macarthuri feather palm tree,1.52,43,8,47.9
Arecanut palm tree,2.11,22,2.33,41.8
Christmas palm tree,2.37,101,1.56,34.5
Macarthuri feather palm tree,1.69,45,6.42,49.8
Arecanut palm tree,2.78,25,2.15,41.6
Christmas palm tree,1.81,105,1.57,34.6
Macarthuri feather palm tree,2.63,44,6.51,49.8
Arecanut palm tree,2.08,24,2.43,41.5
Christmas palm tree,1.57,104,1.58,34.6
Macarthuri feather palm tree,1.73,43,6.78,49.8
Arecanut palm tree,3.26,23,0.88,41.4
Christmas palm tree,2.39,103,1.58,34.7
Macarthuri feather palm tree,1.58,42,6.65,48.8
Arecanut palm tree,1.77,22,0.92,41.2
Christmas palm tree,1.93,102,1.59,34.8
Macarthuri feather palm tree,2.94,42,8,4.98
Arecanut palm tree,2.63,21,2.31,41.3
Christmas palm tree,1.39,101,1.6,34.9
Macarthuri feather palm tree,1.93,41,8,48.9
Arecanut palm tree,2.24,21,2.65,43.7
Christmas palm tree,1.95,106,1.61,34
Macarthuri feather palm tree,1.83,46,8,48.7
Arecanut palm tree,2.55,21,0.99,42.5
Christmas palm tree,1.62,106,1.62,33.1
Macarthuri feather palm tree,1.65,46,6.78,47.8
Arecanut palm tree,2.31,25,2.54,43.5
Christmas palm tree,1.74,103,1.62,33.2
Macarthuri feather palm tree,2.33,41,6.47,48.9
Arecanut palm tree,2.94,25,2.43,43.5
Christmas palm tree,3.38,102,1.63,33.3
Macarthuri feather palm tree,1.88,42,6.36,47.8
Arecanut palm tree,1.74,24,2.21,43.5
Christmas palm tree,0.61,103,1.64,33.4
Macarthuri feather palm tree,1.02,43,6.65,48.6
Arecanut palm tree,2.87,23,2.22,44.5
Christmas palm tree,2.79,101,1.65,33.5
Macarthuri feather palm tree,1.98,42,6.98,47.6
Arecanut palm tree,1.58,23,2.35,43.4
Christmas palm tree,3.15,104,1.66,33.6
Macarthuri feather palm tree,1.13,41,6.76,47.6
Arecanut palm tree,1.85,23,2.21,41.4
Christmas palm tree,3.19,101,1.67,33.7
Macarthuri feather palm tree,1.31,42,6.61,46.8
Arecanut palm tree,1.73,24,2.51,42.4
Christmas palm tree,1.69,105,1.68,33.8
Macarthuri feather palm tree,2.21,44,8,48.4
Arecanut palm tree,1.71,23,2.38,43.55
Christmas palm tree,1.97,101,1.69,33.9
Macarthuri feather palm tree,1.66,41,6.22,48.9
Arecanut palm tree,1.75,24,2.63,43.5
Christmas palm tree,1.81,100,1.7,32
Macarthuri feather palm tree,1.89,43,6.33,47.8
Arecanut palm tree,1.95,23,2.41,43.2
Christmas palm tree,2.63,101,1.23,32.1
Macarthuri feather palm tree,2.72,41,6.23,47.9
Arecanut palm tree,1.52,24,2.44,43.7
Christmas palm tree,2.39,102,1.24,32.2
Macarthuri feather palm tree,1.74,42,6.54,49.8
Arecanut palm tree,1.88,23,2.22,41.4
Christmas palm tree,1.58,104,1.25,32.3
Macarthuri feather palm tree,1.86,44,6.66,49.7
Arecanut palm tree,2.79,24,2.34,42.5
Christmas palm tree,2.47,102,1.26,32.4
Macarthuri feather palm tree,1.97,45,8,49.6
Arecanut palm tree,1.62,21,2.43,43.5
Christmas palm tree,2.11,104,1.27,32.5
Macarthuri feather palm tree,1.62,41,6.66,49.6
Arecanut palm tree,1.98,24,2.35,42.5
Christmas palm tree,2.05,103,1.28,32.6
Macarthuri feather palm tree,1.77,42,6.65,49.6
Arecanut palm tree,1.39,23,2.42,42.4
Christmas palm tree,1.95,101,1.29,32.7
Macarthuri feather palm tree,1.93,44,8,49.5
Arecanut palm tree,2.55,24,2.26,43.4
Christmas palm tree,1.69,100,1.48,32.8
Macarthuri feather palm tree,2.87,45,6.48,49.4
Arecanut palm tree,1.65,25,2.27,43.5
Christmas palm tree,2.33,103,1.45,32.9
Macarthuri feather palm tree,1.52,40,6.37,49.4
Arecanut palm tree,1.86,22,2.28,43.5
Christmas palm tree,2.21,102,1.56,32
Macarthuri feather palm tree,1.31,41,6.65,49.4
Arecanut palm tree,2.78,24,2.28,42.4
Christmas palm tree,1.73,101,1.46,34
Macarthuri feather palm tree,1.81,40,8,49.2
Arecanut palm tree,1.75,22,2.29,42.3
Christmas palm tree,3.38,101,1.47,34.1
Macarthuri feather palm tree,1.62,44,6.76,48.9
Arecanut palm tree,3.26,22,2.31,43.5
Christmas palm tree,1.93,103,1.48,34.2
Macarthuri feather palm tree,1.89,43,6.75,48.7
Arecanut palm tree,2.63,21,2.32,43.5
Christmas palm tree,2.11,102,1.26,34.3
Arecanut palm tree,2.31,22,2.32,43.4
Macarthuri feather palm tree,1.88,43,6.87,48.6
Arecanut palm tree,1.74,23,2.34,41.8
Macarthuri feather palm tree,1.77,41,6.78,48.5
Arecanut palm tree,2.39,21,2.35,43
Macarthuri feather palm tree,1.97,42,6.62,48.5
Arecanut palm tree,1.58,23,2.36,42.5
Macarthuri feather palm tree,2.33,41,6.56,48.4
Arecanut palm tree,1.69,25,2.37,43.2
Christmas palm tree,2.87,104,1.27,34.3
Macarthuri feather palm tree,2.79,43,6.82,48.3
Arecanut palm tree,1.52,21,2.38,42.4
Arecanut palm tree,1.95,25,2.39,42.7
Macarthuri feather palm tree,2.05,43,6.51,48.2
Arecanut palm tree,1.62,27,2.41,43.2
Macarthuri feather palm tree,2.55,41,6.26,48.1
Arecanut palm tree,2.37,21,2.32,43.4
Macarthuri feather palm tree,1.65,45,6.73,48
Christmas palm tree,3.19,102,1.64,34.5
Macarthuri feather palm tree,2.72,43,6.83,47.8
Arecanut palm tree,1.73,23,2.33,43.7
Arecanut palm tree,1.81,21,2.34,43.8
Christmas palm tree,3.15,101,1.65,34.6
Arecanut palm tree,1.13,24,2.35,42.1
Macarthuri feather palm tree,1.98,43,6.73,47
Arecanut palm tree,1.86,21,2.36,42.7
Arecanut palm tree,1.77,22,2.37,42.6
Arecanut palm tree,1.74,23,2.38,42.5
Arecanut palm tree,1.39,24,2.39,42.5
Arecanut palm tree,1.93,25,2.4,42.4
Macarthuri feather palm tree,2.47,41,6.87,47.1
Christmas palm tree,2.63,105,1.44,34.6
Arecanut palm tree,1.69,25,2.41,42.3
Arecanut palm tree,1.58,26,2.42,43.2
Macarthuri feather palm tree,2.11,41,6.83,49.2
Arecanut palm tree,1.95,27,2.43,42.2
Macarthuri feather palm tree,2.21,44,6.28,49.3
Christmas palm tree,2.33,106,1.45,34.7
Arecanut palm tree,1.75,21,2.44,42.1
Macarthuri feather palm tree,2.78,41,8,48.4
Arecanut palm tree,1.97,22,2.45,41.1
Arecanut palm tree,1.31,23,2.46,41.2
Arecanut palm tree,1.62,24,2.47,41.3
Christmas palm tree,2.39,107,1.43,34.8
Macarthuri feather palm tree,1.81,41,6.59,48.3
Arecanut palm tree,1.73,26,2.48,41.4
Christmas palm tree,3.26,101,1.42,34.9
Arecanut palm tree,1.89,25,2.49,41.5
Macarthuri feather palm tree,1.88,41,6.54,49.2
Arecanut palm tree,1.52,26,2.5,41.6
Arecanut palm tree,1.65,26,2.51,41.7
Christmas palm tree,2.63,106,1.41,34
Macarthuri feather palm tree,1.93,46,6.76,49.3
Arecanut palm tree,1.58,27,2.52,41.8
Macarthuri feather palm tree,2.05,47,6.65,49.2
Christmas palm tree,2.55,102,1.4,33.1
Arecanut palm tree,1.95,26,2.53,41.9
Christmas palm tree,2.87,103,1.46,33.2
Macarthuri feather palm tree,2.72,41,8,47.3
Macarthuri feather palm tree,2.33,42,6.87,47.9
Arecanut palm tree,1.77,25,2.54,43.8
Arecanut palm tree,1.39,23,2.55,43.8
Arecanut palm tree,1.62,24,2.56,43.2
Macarthuri feather palm tree,1.97,41,6.52,49.3
Arecanut palm tree,1.69,25,2.57,42.5
Arecanut palm tree,1.81,26,2.58,42.7
Macarthuri feather palm tree,1.93,41,6.37,49.3
Arecanut palm tree,1.73,23,2.59,43.2
Macarthuri feather palm tree,2.11,44,6.65,48.9
Arecanut palm tree,1.88,22,2.6,43.9
Christmas palm tree,3.38,105,1.34,33.3
Arecanut palm tree,1.95,21,2.61,43.2
Macarthuri feather palm tree,2.21,41,8,47.9
Christmas palm tree,2.47,100,1.45,33.4
Arecanut palm tree,1.75,25,2.62,43.9
Christmas palm tree,3.15,101,1.42,33.4
Arecanut palm tree,1.31,24,2.63,42.9
Macarthuri feather palm tree,1.98,41,6.66,48
Christmas palm tree,2.78,104,1.23,33.5
Arecanut palm tree,1.65,23,2.64,4.43
Arecanut palm tree,1.89,24,2.65,4.32
Macarthuri feather palm tree,1.86,45,6.92,48
Arecanut palm tree,1.74,24,2.66,43.2
Christmas palm tree,2.79,104,1.32,33.6
Arecanut palm tree,2.39,25,2.67,42.2
Macarthuri feather palm tree,2.63,41,6.72,49.1
Arecanut palm tree,1.52,26,2.68,42.1
Christmas palm tree,2.87,105,1.42,33.7
Arecanut palm tree,1.58,26,2.69,41.2
Arecanut palm tree,1.62,27,2.7,41.9
Macarthuri feather palm tree,1.97,41,6.54,49.2
Arecanut palm tree,1.77,25,2.71,43.9
Macarthuri feather palm tree,2.33,41,6.91,49.3
Arecanut palm tree,1.69,27,2.43,43.2
Macarthuri feather palm tree,2.05,41,6.92,49.4
Christmas palm tree,3.26,27,1.43,33.8
Arecanut palm tree,1.93,24,2.44,43.1
Macarthuri feather palm tree,1.95,41,9.65,49.5
Macarthuri feather palm tree,1.81,42,6.98,49.6
Arecanut palm tree,1.75,23,2.45,43.8
Arecanut palm tree,1.88,24,2.46,42.8
Christmas palm tree,2.21,109,1.76,33.9
Macarthuri feather palm tree,2.11,41,8,49.7
Macarthuri feather palm tree,1.65,41,8,49.8
Arecanut palm tree,1.31,23,2.47,43.8
Arecanut palm tree,1.39,25,2.48,43.9
Arecanut palm tree,1.74,26,2.49,42.9
Arecanut palm tree,1.62,21,2.31,42.7
Macarthuri feather palm tree,1.89,43,6.48,49.6
Christmas palm tree,2.78,105,1.65,33
Macarthuri feather palm tree,2.55,41,6.78,48.9
Arecanut palm tree,1.93,23,2.33,41.7
Macarthuri feather palm tree,2.33,45,6.76,48.3
Macarthuri feather palm tree,1.97,42,6.78,48.9
Arecanut palm tree,1.75,27,2.34,43.3
Christmas palm tree,2.47,105,1.54,32
Macarthuri feather palm tree,1.81,45,6.67,47.1
Arecanut palm tree,1.58,23,2.35,43.8
Arecanut palm tree,1.77,21,2.36,42.9
Christmas palm tree,2.39,103,1.56,32.1
Arecanut palm tree,1.69,25,2.37,41.8
Macarthuri feather palm tree,2.63,41,6.27,47.2
Arecanut palm tree,1.62,27,2.21,43.9
Macarthuri feather palm tree,2.05,43,6.36,47.3
Arecanut palm tree,1.98,23,2.22,42.9
Arecanut palm tree,1.65,21,2.32,41.9
Christmas palm tree,2.87,104,1.76,32.2
Arecanut palm tree,1.95,25,2.31,43.6
Macarthuri feather palm tree,2.72,41,654,47.4
Christmas palm tree,3.38,104,1.76,32.3
Arecanut palm tree,1.81,23,2.31,42.6
Macarthuri feather palm tree,1.93,41,6.72,47.5
Arecanut palm tree,2.11,25,2.32,41.6
Macarthuri feather palm tree,2.21,42,6.66,47.4
Arecanut palm tree,1.69,25,2.33,43.5
Arecanut palm tree,1.62,23,2.34,42.5
Macarthuri feather palm tree,1.97,41,6.53,47.5
Arecanut palm tree,1.88,26,2.35,41.5
Christmas palm tree,2.55,105,1.65,32.4
Macarthuri feather palm tree,2.39,41,6.24,47.6
Arecanut palm tree,1.75,23,2.36,43.4
Arecanut palm tree,1.77,21,2.37,42.4
Macarthuri feather palm tree,1.81,42,6.12,47.8
Arecanut palm tree,1.95,24,2.38,41.4
Macarthuri feather palm tree,2.05,45,8,47.9
Macarthuri feather palm tree,1.98,43,6.98,47.2
Arecanut palm tree,1.65,26,2.3,43.3
Arecanut palm tree,2.47,23,2.39,42.3
Christmas palm tree,2.63,103,1.65,32.4
Macarthuri feather palm tree,1.93,41,6.37,48.1
Arecanut palm tree,1.69,23,2.4,41.3
Christmas palm tree,3.26,102,1.55,32.5
Arecanut palm tree,2.33,26,2.41,43.2
Macarthuri feather palm tree,1.89,43,6.34,48.2
Christmas palm tree,2.78,100,1.44,32.6
Arecanut palm tree,1.74,23,2.42,42.2
Christmas palm tree,2.87,104,1.33,32.7
Macarthuri feather palm tree,1.62,45,6.66,48.3
Arecanut palm tree,1.58,21,2.43,41.2
Macarthuri feather palm tree,1.97,46,6.45,48.4
Arecanut palm tree,1.31,23,2.44,43.1
Macarthuri feather palm tree,2.21,46,6.23,48.5
Arecanut palm tree,1.75,26,2.45,42.1
Arecanut palm tree,1.77,25,2.46,41.1
Macarthuri feather palm tree,1.81,45,6.66,48.6
Arecanut palm tree,1.93,27,2.47,43
Arecanut palm tree,1.69,26,2.48,43.9
Macarthuri feather palm tree,1.88,46,6.54,47.9
Christmas palm tree,2.11,105,1.22,32.8
Arecanut palm tree,1.95,23,2.49,42.9
Arecanut palm tree,1.65,21,2.5,42.9
Macarthuri feather palm tree,2.39,45,6.34,47.1
Arecanut palm tree,1.62,25,2.51,41.9
Macarthuri feather palm tree,1.98,41,6.65,47.2
Arecanut palm tree,1.62,26,2.52,43.8
Macarthuri feather palm tree,1.97,42,6.43,47.3
Christmas palm tree,2.63,105,1.11,32.8
Arecanut palm tree,1.81,23,2.53,42.8
Macarthuri feather palm tree,2.05,42,6.98,47.9
Arecanut palm tree,1.69,25,2.54,41.8
Macarthuri feather palm tree,1.75,45,6.52,48.9
Arecanut palm tree,1.89,26,2.56,43.7
Christmas palm tree,2.47,105,1.23,32.9
Arecanut palm tree,1.93,23,2.57,42.7
Macarthuri feather palm tree,2.33,43,6.78,48.1
Christmas palm tree,2.55,104,1.21,32
Arecanut palm tree,1.77,23,2.41,41.7
Christmas palm tree,2.78,101,1.56,31.1
Macarthuri feather palm tree,1.95,45,6.66,48.2
Arecanut palm tree,1.74,21,2.32,43.6
Christmas palm tree,2.87,104,1.35,32.2
Arecanut palm tree,1.31,25,2.36,42.6
Arecanut palm tree,1.58,24,2.56,41.6
Christmas palm tree,3.26,105,1.89,31.2
Macarthuri feather palm tree,2.21,41,6.54,48.4
Arecanut palm tree,1.62,26,2.61,43.5
Arecanut palm tree,1.69,25,2.42,42.5
Macarthuri feather palm tree,1.97,45,6.87,48.9
Arecanut palm tree,1.81,23,2.32,41.5
Christmas palm tree,2.39,105,1.36,31.3
Macarthuri feather palm tree,1.98,41,6.31,48.4
Arecanut palm tree,1.65,25,0.98,43.3
Arecanut palm tree,1.75,24,0.92,42.3
Macarthuri feather palm tree,2.05,41,6.55,49.3
Arecanut palm tree,1.88,23,0.32,41.3
Arecanut palm tree,1.62,22,0.48,43.2
Macarthuri feather palm tree,1.93,44,6.45,48
Christmas palm tree,2.11,104,1.78,31.4
Arecanut palm tree,1.77,21,0.87,42.2
Christmas palm tree,2.63,102,1.56,31.5
Macarthuri feather palm tree,2.47,44,8,48.2
Arecanut palm tree,1.95,23,0.87,41.2
Macarthuri feather palm tree,2.33,43,8,49.4
Arecanut palm tree,1.69,21,0.81,43.1
Christmas palm tree,2.78,105,1.65,31.5
Macarthuri feather palm tree,1.81,45,6.78,48
Christmas palm tree,2.87,101,1.67,31.6
Arecanut palm tree,1.62,23,0.78,42.1
Macarthuri feather palm tree,1.98,43,6.54,48.3
Arecanut palm tree,1.75,21,0.77,41.1
Christmas palm tree,2.55,102,1.34,31.8
Arecanut palm tree,1.89,21,0.87,43.8
Macarthuri feather palm tree,1.93,44,6.43,48.5
Arecanut palm tree,1.65,25,0.78,42.8
Macarthuri feather palm tree,1.81,43,6.77,48.7
Arecanut palm tree,1.69,23,0.79,41.8
Macarthuri feather palm tree,1.97,44,6.23,48.2
Christmas palm tree,2.05,103,1.87,32.4
Arecanut palm tree,1.75,23,0.89,43.7
Macarthuri feather palm tree,1.95,44,6.34,48.4
Arecanut palm tree,1.88,25,0.69,42.7
Christmas palm tree,2.39,104,1.56,32.6
Arecanut palm tree,1.62,26,0.88,41.7
Macarthuri feather palm tree,1.77,41,6.45,48.3
Christmas palm tree,2.11,105,1.45,33.4
Arecanut palm tree,2.47,26,0.99,43.6
Christmas palm tree,2.63,106,1.34,32.5
Macarthuri feather palm tree,1.98,44,8,48.2
Arecanut palm tree,1.93,27,0.5,42.6
Macarthuri feather palm tree,1.81,41,8,49.3
Arecanut palm tree,1.69,25,0.79,41.6
Arecanut palm tree,1.97,26,2.33,43.5
Christmas palm tree,2.33,107,1.78,32.6
Macarthuri feather palm tree,1.95,45,6.66,47.3
Arecanut palm tree,1.65,21,2.56,42.5
Christmas palm tree,2.78,100,1.45,32.5
Arecanut palm tree,1.75,26,2.45,41.5
Macarthuri feather palm tree,2.05,48,6.76,49.3
Arecanut palm tree,1.62,25,2.9,43.4
Arecanut palm tree,2.21,26,2.82,42.4
Macarthuri feather palm tree,1.88,41,6.98,48.5
Arecanut palm tree,1.77,26,2.33,41.4
Christmas palm tree,2.55,101,1.34,31.4
Arecanut palm tree,1.62,26,2.45,43.7
Christmas palm tree,2.87,102,1.45,32.5
Macarthuri feather palm tree,1.93,41,6.41,49
Arecanut palm tree,1.81,26,2.76,42.7
Macarthuri feather palm tree,1.69,41,6.34,48.1
Arecanut palm tree,1.97,25,2.45,41.6
Macarthuri feather palm tree,2.11,46,6.56,48.3
Arecanut palm tree,1.75,21,2.87,43.1
Macarthuri feather palm tree,1.98,44,6.32,47.9
Christmas palm tree,2.39,103,1.23,32
Arecanut palm tree,1.65,25,2.45,42.3
Macarthuri feather palm tree,2.47,45,6.45,47.9
Christmas palm tree,2.63,104,1.56,33
Macarthuri feather palm tree,1.95,42,6.67,48.8
Arecanut palm tree,1.88,22,2.78,41.2
Arecanut palm tree,1.93,21,0.99,43.3
Arecanut palm tree,1.77,23,0.59,42.2
Macarthuri feather palm tree,1.81,44,6.33,48.1
Christmas palm tree,2.33,104,1.54,31
Arecanut palm tree,1.62,23,0.87,41.1
Macarthuri feather palm tree,1.69,44,6.33,48